doc_id,raw_doc_sha256,clean_sha256,game_title,lang,text_path
84a18d3f2dff8e51dca84dfecb8cbbf8be23262cb28d9ff0814eeab78dc8cf5e,84a18d3f2dff8e51dca84dfecb8cbbf8be23262cb28d9ff0814eeab78dc8cf5e,d8e44b9118026fd3a1640d810e22b4a91801268e7d9208cefb7c5334b2b454cf,Эволюция. Климат,ru,data/rules_texts_cleaned_good/84a18d3f2dff8e51dca84dfecb8cbbf8be23262cb28d9ff0814eeab78dc8cf5e.txt
84d5c3b6074b6482888118c142565aecfac1d4e41997c711e4ee7e02f5c4bcde,84d5c3b6074b6482888118c142565aecfac1d4e41997c711e4ee7e02f5c4bcde,467d61659d19f984aedf8f154d201e511adb90cc89796a8b75be2c6f2e1549a4,Закат Империй,ru,data/rules_texts_cleaned_good/84d5c3b6074b6482888118c142565aecfac1d4e41997c711e4ee7e02f5c4bcde.txt
84f3917d357153bcef1b1da5634828e303939c32f2410d82fb735e504726d280,84f3917d357153bcef1b1da5634828e303939c32f2410d82fb735e504726d280,2a728aaec9f7daa57b4bfba61ddde248963d59a277e6224c67cbc128c0b88272,Детектим для семьи: Исчезнувший пирог,ru,data/rules_texts_cleaned_good/84f3917d357153bcef1b1da5634828e303939c32f2410d82fb735e504726d280.txt
8501ced78955d9e4ee920a8e7d0381485e0877c380985a3d69388e157faca643,8501ced78955d9e4ee920a8e7d0381485e0877c380985a3d69388e157faca643,23ea1a4c84abb831659978f73ac94a293d96e7f6d9643d8b26e228ef21fde6b5,Подземелье. Царство Ледяной Ведьмы,ru,data/rules_texts_cleaned_good/8501ced78955d9e4ee920a8e7d0381485e0877c380985a3d69388e157faca643.txt
8512d36c4245ac5757aeae25446ba989def318eae56da364c99de570c1dfde2f,8512d36c4245ac5757aeae25446ba989def318eae56da364c99de570c1dfde2f,ef6d9596beb8fc7d2795934d043f8c37609da074fa66f79e3606e17a7cf960b1,Коварный волк и пропавшая нота,ru,data/rules_texts_cleaned_good/8512d36c4245ac5757aeae25446ba989def318eae56da364c99de570c1dfde2f.txt
852a7b9a347ae0f8ebdc2f33dc769c628bef6148e38583dab5a34484fad86574,852a7b9a347ae0f8ebdc2f33dc769c628bef6148e38583dab5a34484fad86574,8216af5d73e2f25bc41aad06873f46e89771645e4a48d654c11874f8906563ff,Загадка Леонардо. Подарочный набор,ru,data/rules_texts_cleaned_good/852a7b9a347ae0f8ebdc2f33dc769c628bef6148e38583dab5a34484fad86574.txt
853e9c05a9413d31cc7efcc7638fd9635ea280429ff23aca8c015d52893c9431,853e9c05a9413d31cc7efcc7638fd9635ea280429ff23aca8c015d52893c9431,8e780b2037dd9998201a20f0ecd7cbd7c2970e4ea9e484404a1d9488451dd8ff,Билет на поезд,ru,data/rules_texts_cleaned_good/853e9c05a9413d31cc7efcc7638fd9635ea280429ff23aca8c015d52893c9431.txt
854bae180a05631e32cfd24143dbce55a3546471fdeea65ac268d2338b2be626,854bae180a05631e32cfd24143dbce55a3546471fdeea65ac268d2338b2be626,008368d15621935050317ad5c8ae2dde28ee177793d99d15989678f8c22a2d24,Место преступления,ru,data/rules_texts_cleaned_good/854bae180a05631e32cfd24143dbce55a3546471fdeea65ac268d2338b2be626.txt
855ff0c3aea352ab32007347cc7d4bced9ca8678c267e8be49f3aed914d4e4ba,855ff0c3aea352ab32007347cc7d4bced9ca8678c267e8be49f3aed914d4e4ba,5ecc56e106a97a494bf97a1e9b60029fc599d66a4e8ec4b08c56055f6751359c,Эволюция. Случайные мутации,ru,data/rules_texts_cleaned_good/855ff0c3aea352ab32007347cc7d4bced9ca8678c267e8be49f3aed914d4e4ba.txt
8582f837b688b4daef1f71e01900957c1d07a021c80ce7609d2d3652bd0ba196,8582f837b688b4daef1f71e01900957c1d07a021c80ce7609d2d3652bd0ba196,3802d214745a3cb08e52993c0df4c33ae36cec6887e61a6da52a961a2092bdf0,Чума: Дорожные события,ru,data/rules_texts_cleaned_good/8582f837b688b4daef1f71e01900957c1d07a021c80ce7609d2d3652bd0ba196.txt
